id,AspectTerms,A_start,A_end,OpinionTerms,O_start,O_end,Categories,Polarities
1,_, , ,很好,0,2,整体,正面
1,_, , ,超值,3,5,价格,正面
1,_, , ,还可以吧,6,10,整体,正面
2,_, , ,很好,0,2,整体,正面
2,_, , ,特别实惠,3,7,价格,正面
2,_, , ,是正品,8,11,整体,正面
3,_, , ,挺喜欢,0,3,整体,正面
3,_, , ,便宜了好多,4,9,价格,正面
3,_, , ,比较信得过,10,15,整体,正面
4,_, , ,提好用,0,3,整体,正面
4,遮暇功能,4,8,差一些,8,11,功效,负面
4,_, , ,还不错,14,17,整体,正面
5,_, , ,很常满意,0,4,整体,正面
5,遮暇功能,5,9,差一些,9,12,功效,负面
5,_, , ,过得去,15,18,整体,正面
6,_, , ,很好,0,2,整体,正面
6,美白,3,5,没有感觉,5,9,功效,负面
6,_, , ,还不错,12,15,整体,正面
7,包装,0,2,太丑了,2,5,包装,负面
7,包装盒,8,11,没有,12,14,包装,负面
7,_, , ,很不好,19,22,整体,负面
8,_,0,2,漏水,2,4,包装,负面
8,包装盒,7,10,没有,11,13,包装,负面
8,_, , ,不喜欢,18,21,整体,负面
9,包装,0,2,忒简单,2,5,包装,负面
9,包装,8,10,没心情了,11,15,包装,负面
9,_, , ,不敢用,20,23,整体,负面
10,_, , ,太失望了,8,12,整体,负面
10,_, , ,垃圾,18,20,整体,负面
11,_, , ,感觉不高,8,12,整体,负面
11,_, , ,好差,18,20,整体,负面
12,价格, , ,实惠,3,5,价格,正面
13,味道,14,16,可以的,11,14,气味,正面
13,_, , ,喜欢,17,19,整体,正面
14,味道,14,16,喜欢的,11,14,气味,正面
14,_, , ,点赞,17,19,整体,正面
15,_, , ,特别满意,7,11,整体,正面
16,_, , ,很清爽保湿,0,5,使用体验,正面
16,_, , ,好推开,7,10,使用体验,正面
16,_, , ,还可以,13,16,整体,正面
17,_, , ,很润,0,2,使用体验,正面
17,_, , ,没有过敏不适,4,10,使用体验,正面
17,_, , ,棒棒的,13,16,整体,正面
18,_, , ,挺好吸收,0,4,使用体验,正面
18,_, , ,容易吸收,6,10,使用体验,正面
18,_, , ,最喜欢,13,16,整体,正面
19,_, , ,超喜欢的,11,15,整体,正面
20,_, , ,比较划算,7,11,价格,正面
20,_, , ,太棒了,13,16,整体,正面
21,价格, , ,便宜,7,9,价格,正面
21,_, , ,非常舒适,11,15,整体,正面
22,_, , ,好用,0,2,整体,正面
22,_, , ,一点也不紧绷,2,8,使用体验,正面
22,_, , ,很清爽,8,11,使用体验,正面
23,_, , ,很好用,0,3,整体,正面
23,_, , ,不油不腻,3,7,使用体验,正面
23,_, , ,很清爽,7,10,使用体验,正面
24,_, , ,很温和,0,3,整体,正面
24,色泽, , ,唯美,3,5,使用体验,正面
24,_, , ,很细腻,5,8,使用体验,正面
25,_, , ,蛮好的,2,5,整体,正面
25,_, , ,很值,15,17,价格,正面
26,_, , ,太好了,2,5,整体,正面
26,_, , ,特别特别划算,15,21,价格,正面
27,天猫直送,15,19,很给力,20,23,物流,正面
28,_, , ,挺适合,0,3,整体,正面
28,_, , ,不错,28,30,整体,正面
29,_, , ,很适合,0,3,整体,正面
29,_, , ,实用,28,30,整体,正面
30,上妆效果,0,4,容易上妆,5,9,功效,正面
30,持久情况,20,24,_, , ,功效,负面
30,_, , ,真的好用,39,43,整体,正面
31,_,0,4,干净,5,7,功效,正面
31,持久情况,18,22,_, , ,功效,负面
31,_, , ,五星好评,37,41,整体,正面
32,上妆效果,0,4,容易上妆,5,9,功效,正面
